user_id_experi,whether_active
143515471,No
85741735,Yes
71457972,No
2908108256,No
106799492,No
59156981,No
902137872,Yes
110354554,Yes
97424433,No
62364020,No
2706101936,No
5654472,No
145579921,No
2502172122,No
243716471,No
2610379644,No
123138418,No
257376764,No
269145593,No
370711133,No
1510968974,No
3526380922,No
163413904,No
16980347,No
1209614366,No
447433286,No
1970607968,No
3285473358,Yes
1112166661,No
422175328,No
60004557,No
2789430008,No
253242925,No
141214344,No
24787056,No
22830586,No
138605435,No
2199664468,No
71098947,No
174156582,No
315105182,No
356667027,No
152122529,No
300526090,No
281666367,No
314200747,No
284371894,No
193060294,No
3098204839,No
89107116,No
20815886,No
3157739056,No
768680968114667520,No
460620990,No
1379501556,No
2725725450,No
55165270,No
252708604,No
94245683,No
33686448,No
238576433,No
518389533,No
21217122,No
791732926387884032,No
132216274,No
175322072,No
29949567,No
17130680,No
1194213805,No
356677104,No
173697045,No
13785352,No
1034809063,No
182037498,No
2326748376,No
2351435020,No
4111464136,No
2229240523,No
2402058558,No
77321410,No
3375721527,No
860495726,No
3923649083,No
31467003,No
4146493673,No
43189449,No
14348618,No
191873398,No
14169855,No
103596643,No
87690895,No
382901851,No
506067767,No
323149948,No
2348808775,No
32071786,No
89633357,No
375712053,No
2816704757,No
720331094,No
349381846,No
418871874,No
16657113,No
102688383,No
772544294137630720,No
1399965709,Yes
826284212,No
3196213653,No
4442301695,No
1485862291,No
294719044,No
468731640,No
8408412,No
786212672194813953,No
81000458,No
578426523,No
2847886928,No
258080946,No
2293516421,No
3073354949,No
2244751172,No
1648631244,No
207114132,No
155809091,No
48395069,No
41337472,No
50902973,No
588605404,No
591804599,No
1806671,No
2551073557,No
2663928969,No
19315352,No
585782554,No
63707171,No
1655530248,No
277408746,No
1283793956,No
437669623,No
205418510,No
270940424,No
700332933119414272,No
2025531,No
44678898,No
203597952,No
1957347541,No
599445692,No
3398096555,No
323274346,No
248931197,No
21267682,No
197598528,No
1689125262,No
17824489,No
118378294,No
282269833,No
134152350,No
3234664235,No
36679173,No
4755678875,No
2322987994,No
190543244,No
15519893,No
543872908,No
14454583,No
1040604872,No
625542640,No
1170556975,No
3342756442,No
17665654,No
6295782,No
380538425,No
236301546,No
19775711,No
623948688,No
156131053,No
878083386,No
1264262994,No
20075370,No
64556019,No
162682950,No
472271131,No
491426468,No
302051431,No
76047938,No
23019151,Yes
214587100,No
735237505,No
19563380,No
15075643,No
2820871918,No
319029300,No
2911144645,No
167129822,No
2178554890,No
28931985,No
377527019,No
14735760,No
89900424,No
219930660,No
446742802,No
39078109,No
125855207,No
70389188,No
22915745,No
1196145949,No
168418392,No
2698629504,Yes
718033847930097664,No
3023752657,No
82018203,No
716687022719676416,No
65332022,No
141121479,No
38640756,No
3877071439,No
48626994,No
133856231,No
102119049,No
4380411,No
4417845858,No
2322723822,No
145940316,No
787616782148366336,No
2347212330,No
74678948,No
478954545,No
305560776,No
2193433592,No
1240846296,No
3304100556,No
715810118,No
4593154519,No
102578904,No
755649698921345024,No
791304923841388544,No
317698183,No
768738865,No
793458123344261120,No
40692308,No
14430913,No
3250864230,No
374735949,No
156302205,No
14961827,No
89237396,No
741872860407431168,No
72877928,No
1908777942,No
56210818,No
20973783,No
2228056004,No
1210875679,No
450442747,No
2316449398,No
54311555,No
14993218,No
57322834,No
158632671,No
705020775166685184,No
83078534,No
221125308,No
1914640352,No
255935729,No
147258286,No
21338481,No
156365299,No
122672833,No
127216617,No
29684260,No
61218672,No
25151772,No
2171855560,No
284075387,No
1110962058,No
396796435,No
62872680,No
71302070,Yes
1231247078,No
365367615,No
127186083,No
81329096,No
278516937,No
40713544,No
158471550,No
620214487,No
2981676459,No
769833799098241024,No
296995839,No
255946292,No
175756541,No
373275893,No
249190612,No
163148814,No
180361172,Yes
24655213,No
17424831,No
1603957266,No
51013278,No
20343872,No
488190692,No
3064134913,No
792489392455708672,No
136371386,No
485556712,No
2471882927,No
291033211,No
1432265624,No
206062743,No
255430770,No
493941380,Yes
1347081,No
3811502293,No
2688190572,No
15488009,No
58875334,No
75980633,No
720811218508849152,No
4366491613,No
257320677,No
228025464,No
613496890,No
53454531,No
156664343,No
789256404,No
107008766,No
453590509,No
317774985,No
280370764,No
1148946805,No
106843636,No
780110020461596672,No
180854053,No
54751476,No
25976103,No
2685131954,No
554493417,No
16031661,No
540223123,No
79266671,No
786911784045256704,No
265069320,No
227558783,No
425825960,No
3459096634,No
98434540,No
540744250,No
91804415,No
21998279,No
19280072,No
15604020,No
96721010,No
11892672,No
142243378,No
42747982,No
20039132,No
446149900,No
137685030,No
793273269222797312,Yes
84306077,No
129433156,No
453209717,No
50972311,No
929624545,No
14244836,No
376854086,No
84115838,No
234641258,No
2463479774,No
401160259,No
383083991,No
160500308,No
156226234,No
1443351012,No
1705468489,No
763375765253652480,No
319457278,No
68657683,No
793640186504581120,No
106795900,No
4548191940,No
2174216995,No
2219985456,Yes
4176798072,No
180331674,No
92895763,No
2193608857,No
39454604,No
1255519657,No
1655129347,No
1675908295,No
46408133,No
170651537,No
14725241,No
37907842,No
43406190,No
259875880,No
2865599865,No
2395197084,No
26475128,No
298791247,No
34930255,No
1188929052,No
2210273923,No
1245377257,No
2497727850,No
2242214617,No
34282723,No
2274181766,No
2987648555,No
35541189,No
3295303734,No
524732951,No
79436911,No
246987245,No
757034374902743040,No
2354303918,No
22477252,No
33829621,No
481573383,No
21850842,No
785917438189670400,No
101782427,No
1437440348,No
706169419718733824,No
6177832,No
120068456,No
429016990,No
20070088,No
737213190681989121,No
79260733,No
18821935,No
14934017,No
1658664860,No
704345455342313472,No
499464698,No
66370007,No
83318092,No
2755420775,No
147572461,No
19412382,No
749383153937244164,Yes
2259222409,No
41701156,No
3447333252,No
724529047254917120,No
1640461520,No
154600632,No
89850915,No
64897527,No
2669215596,No
30260663,No
522477612,No
2865211326,No
320756388,No
396549156,No
19236015,No
76912915,No
203874607,No
2900142090,No
19857548,No
733398318353514496,No
54941507,No
194944968,No
15605226,No
140830709,No
1552913352,No
289396177,No
21689397,No
2984476775,No
793853432138432512,No
297504225,No
485223335,No
458070658,No
4351459753,No
50622864,No
374212382,No
48198318,No
155180349,No
261894160,No
40847171,No
885649502,No
20620547,No
2824549028,No
459694718,No
2414858826,No
48569961,No
36714114,No
2960180055,No
14156531,No
153994363,No
2995578334,No
